게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
DRAGON QUEST I & II HD-2D Remake,"\69,800","\69,800",https://directg.net/game/game_page.html?product_code=50005451,0%,,,Steam,https://image.directg.net/upload/product/goods_1748841424_simg.jpg,시뮬레이션,전체 이용가
Sonic Racing: CrossWorlds,"\79,800","\71,800",https://directg.net/game/game_page.html?product_code=50005572,10%,,,Steam,https://image.directg.net/upload/product/goods_1752557170_simg.jpg,레이싱/스포츠,전체 이용가
Sonic Racing: CrossWorlds - Digital Deluxe Edition,"\99,800","\89,800",https://directg.net/game/game_page.html?product_code=50005573,10%,,,Steam,https://image.directg.net/upload/product/goods_1752557403_simg.jpg,레이싱/스포츠,전체 이용가
SILENT HILL f,"\93,300","\84,800",https://directg.net/game/game_page.html?product_code=50005463,9%,,,Steam,https://image.directg.net/upload/product/goods_1749519118_simg.jpg,액션/어드벤쳐,19세 이용가
SILENT HILL f - Digital Deluxe,"\106,700","\96,800",https://directg.net/game/game_page.html?product_code=50005464,9%,,,Steam,https://image.directg.net/upload/product/goods_1749519206_simg.jpg,액션/어드벤쳐,19세 이용가
Borderlands 4,"\84,800","\74,800",https://directg.net/game/game_page.html?product_code=50005514,12%,,,Steam,https://image.directg.net/upload/product/goods_1750643689_simg.jpg,액션/어드벤쳐,19세 이용가
Borderlands 4 Deluxe Edition,"\119,800","\104,800",https://directg.net/game/game_page.html?product_code=50005515,13%,,,Steam,https://image.directg.net/upload/product/goods_1750644274_simg.jpg,액션/어드벤쳐,19세 이용가
Borderlands 4 Super Deluxe Edition,"\154,900","\134,800",https://directg.net/game/game_page.html?product_code=50005516,13%,,,Steam,https://image.directg.net/upload/product/goods_1750644393_simg.jpg,액션/어드벤쳐,19세 이용가
Hell is Us,"\53,000","\44,000",https://directg.net/game/game_page.html?product_code=50005523,17%,,,Steam,https://image.directg.net/upload/product/goods_1750732058_simg.jpg,액션/어드벤쳐,19세 이용가
Hell is Us - Deluxe Edition,"\73,500","\61,000",https://directg.net/game/game_page.html?product_code=50005524,17%,,,Steam,https://image.directg.net/upload/product/goods_1750732356_simg.jpg,액션/어드벤쳐,19세 이용가
DAEMON X MACHINA TITANIC SCION,"\75,800","\69,800",https://directg.net/game/game_page.html?product_code=50005540,8%,,,Steam,https://image.directg.net/upload/product/goods_1751268142_simg.jpg,액션,15세 이용가
DAEMON X MACHINA TITANIC SCION Deluxe Edition,"\102,800","\94,800",https://directg.net/game/game_page.html?product_code=50005541,8%,,,Steam,https://image.directg.net/upload/product/goods_1751268252_simg.jpg,액션,15세 이용가
DAEMON X MACHINA TITANIC SCION Premium Deluxe Edition,"\119,800","\109,800",https://directg.net/game/game_page.html?product_code=50005542,8%,,,Steam,https://image.directg.net/upload/product/goods_1751268353_simg.jpg,액션,15세 이용가
Lost Soul Aside,"\69,800","\64,800",https://directg.net/game/game_page.html?product_code=50005460,7%,,,Steam,https://image.directg.net/upload/product/goods_1749449279_simg.jpg,액션,15세 이용가
Lost Soul Aside Digital Deluxe Edition,"\79,800","\73,800",https://directg.net/game/game_page.html?product_code=50005461,8%,,,Steam,https://image.directg.net/upload/product/goods_1749449283_simg.jpg,액션,15세 이용가
SHINOBI: Art of Vengeance,"\27,800","\22,000",https://directg.net/game/game_page.html?product_code=50005302,21%,,,Steam,https://image.directg.net/upload/product/goods_1741322021_simg.jpg,액션,12세 이용가
SHINOBI: Art of Vengeance Digital Deluxe Edition,"\37,800","\29,800",https://directg.net/game/game_page.html?product_code=50005303,21%,,,Steam,https://image.directg.net/upload/product/goods_1741322274_simg.jpg,액션,12세 이용가
METAL GEAR SOLID Δ: SNAKE EATER,"\89,500","\79,800",https://directg.net/game/game_page.html?product_code=50005294,11%,,,Steam,https://image.directg.net/upload/product/goods_1741138849_simg.jpg,액션/어드벤쳐,19세 이용가
METAL GEAR SOLID Δ: SNAKE EATER Digital Deluxe Edition,"\105,500","\93,800",https://directg.net/game/game_page.html?product_code=50005295,11%,,,Steam,https://image.directg.net/upload/product/goods_1741139468_simg.jpg,액션/어드벤쳐,19세 이용가
Ys X: Proud Nordics,"\85,900","\77,300",https://directg.net/game/game_page.html?product_code=50005462,10%,,,Steam,https://image.directg.net/upload/product/goods_1749451482_simg.jpg,액션/RPG,19세 이용가
Mafia: The Old Country,"\60,800","\51,000",https://directg.net/game/game_page.html?product_code=50005406,16%,,,Steam,https://image.directg.net/upload/product/goods_1746763850_simg.jpg,액션/어드벤쳐,19세 이용가
Mafia: The Old Country Deluxe Edition,"\72,500","\61,000",https://directg.net/game/game_page.html?product_code=50005407,16%,,,Steam,https://image.directg.net/upload/product/goods_1746764738_simg.jpg,액션/어드벤쳐,19세 이용가
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,"\69,800","\63,800",https://directg.net/game/game_page.html?product_code=50005356,9%,,,Steam,https://image.directg.net/upload/product/goods_1750997233_simg.jpg,액션/어드벤쳐,15세 이용가
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2 Deluxe Edition,"\79,800","\72,800",https://directg.net/game/game_page.html?product_code=50005357,9%,,,Steam,https://image.directg.net/upload/product/goods_1750997263_simg.jpg,액션/어드벤쳐,15세 이용가
